index,Country,iso3,Values,Year,Unit
4.2.2,AW,ABW,99.98893,2014,PERCENT
4.2.2,AO,AGO,65.15899,2016,PERCENT
4.2.2,AI,AIA,96.11122,2011,PERCENT
4.2.2,AL,ALB,88.12827,2015,PERCENT
4.2.2,AE,ARE,99.19932,2017,PERCENT
4.2.2,AR,ARG,97.81543,2017,PERCENT
4.2.2,AM,ARM,47.536,2018,PERCENT
4.2.2,AG,ATG,91.06648,2018,PERCENT
4.2.2,AU,AUS,86.44291,2017,PERCENT
4.2.2,AT,AUT,99.99639,2017,PERCENT
4.2.2,AZ,AZE,69.11895,2018,PERCENT
4.2.2,BI,BDI,44.55618,2018,PERCENT
4.2.2,BE,BEL,98.36015,2017,PERCENT
4.2.2,BJ,BEN,84.8008,2018,PERCENT
4.2.2,BF,BFA,16.48794,2018,PERCENT
4.2.2,BD,BGD,36.64942,2010,PERCENT
4.2.2,BG,BGR,84.01939,2017,PERCENT
4.2.2,BH,BHR,70.50715,2018,PERCENT
4.2.2,BS,BHS,37.55622,2018,PERCENT
4.2.2,BY,BLR,98.05161,2018,PERCENT
4.2.2,BZ,BLZ,85.62516,2018,PERCENT
4.2.2,BM,BMU,67.88321,2012,PERCENT
4.2.2,BO,BOL,90.12059,2018,PERCENT
4.2.2,BR,BRA,98.0464,2017,PERCENT
4.2.2,BB,BRB,84.49342,2011,PERCENT
4.2.2,BN,BRN,94.14226,2018,PERCENT
4.2.2,BT,BTN,34.63183,2018,PERCENT
4.2.2,BW,BWA,21.32678,2015,PERCENT
4.2.2,CF,CAF,6.18135,2011,PERCENT
4.2.2,CH,CHE,99.43198,2017,PERCENT
4.2.2,CL,CHL,93.59669,2017,PERCENT
4.2.2,CI,CIV,22.23398,2017,PERCENT
4.2.2,CM,CMR,44.95799,2017,PERCENT
4.2.2,CG,COG,22.32111,2012,PERCENT
4.2.2,CK,COK,97.84747,2016,PERCENT
4.2.2,CO,COL,99.22525,2018,PERCENT
4.2.2,KM,COM,29.90073,2018,PERCENT
4.2.2,CV,CPV,80.71591,2018,PERCENT
4.2.2,CR,CRI,96.79858,2018,PERCENT
4.2.2,CU,CUB,99.93591,2018,PERCENT
4.2.2,CY,CYP,95.60667,2017,PERCENT
4.2.2,CZ,CZE,89.37476,2017,PERCENT
4.2.2,DE,DEU,98.75089,2017,PERCENT
4.2.2,DJ,DJI,12.10671,2019,PERCENT
4.2.2,DM,DMA,77.00893,2015,PERCENT
4.2.2,DK,DNK,93.73047,2017,PERCENT
4.2.2,DO,DOM,87.59507,2018,PERCENT
4.2.2,DZ,DZA,88.85497,2010,PERCENT
4.2.2,EC,ECU,94.58671,2018,PERCENT
4.2.2,EG,EGY,37.08449,2018,PERCENT
4.2.2,ER,ERI,26.7308,2018,PERCENT
4.2.2,ES,ESP,93.17533,2017,PERCENT
4.2.2,EE,EST,93.17089,2017,PERCENT
4.2.2,ET,ETH,37.16064,2015,PERCENT
4.2.2,FI,FIN,99.12367,2017,PERCENT
4.2.2,FJ,FJI,49.61534,2006,PERCENT
4.2.2,FR,FRA,99.81636,2017,PERCENT
4.2.2,FM,FSM,73.04167,2015,PERCENT
4.2.2,GB,GBR,99.93238,2017,PERCENT
4.2.2,GE,GEO,48.94592,2006,PERCENT
4.2.2,GH,GHA,86.85249,2019,PERCENT
4.2.2,GI,GIB,99.53526,2016,PERCENT
4.2.2,GN,GIN,41.52095,2016,PERCENT
4.2.2,GW,GNB,16.74574,2000,PERCENT
4.2.2,GQ,GNQ,43.98108,2015,PERCENT
4.2.2,GR,GRC,92.74427,2017,PERCENT
4.2.2,GD,GRD,89.90333,2017,PERCENT
4.2.2,GT,GTM,85.12712,2018,PERCENT
4.2.2,GY,GUY,95.15374,2012,PERCENT
4.2.2,HK,HKG,96.89781,2018,PERCENT
4.2.2,HN,HND,78.11174,2017,PERCENT
4.2.2,HR,HRV,99.12945,2017,PERCENT
4.2.2,HU,HUN,87.08515,2017,PERCENT
4.2.2,ID,IDN,95.7982,2018,PERCENT
4.2.2,IE,IRL,99.89556,2017,PERCENT
4.2.2,IR,IRN,50.77634,2016,PERCENT
4.2.2,IQ,IRQ,17.7364,2007,PERCENT
4.2.2,IS,ISL,94.20382,2017,PERCENT
4.2.2,IL,ISR,99.08776,2017,PERCENT
4.2.2,IT,ITA,93.89478,2017,PERCENT
4.2.2,JM,JAM,91.40983,2018,PERCENT
4.2.2,JO,JOR,43.37772,2018,PERCENT
4.2.2,KZ,KAZ,90.40156,2019,PERCENT
4.2.2,KE,KEN,46.27357,2009,PERCENT
4.2.2,KG,KGZ,91.26972,2018,PERCENT
4.2.2,KH,KHM,43.00224,2012,PERCENT
4.2.2,KN,KNA,89.33772,2016,PERCENT
4.2.2,KR,KOR,95.88076,2017,PERCENT
4.2.2,KW,KWT,81.18453,2018,PERCENT
4.2.2,LA,LAO,66.94642,2018,PERCENT
4.2.2,LR,LBR,78.79881,2017,PERCENT
4.2.2,LC,LCA,95.64068,2018,PERCENT
4.2.2,LI,LIE,99.97773,2016,PERCENT
4.2.2,LS,LSO,42.36773,2016,PERCENT
4.2.2,LT,LTU,99.87093,2017,PERCENT
4.2.2,LU,LUX,98.1858,2017,PERCENT
4.2.2,LV,LVA,98.09276,2017,PERCENT
4.2.2,MO,MAC,97.86916,2018,PERCENT
4.2.2,MA,MAR,49.95047,2018,PERCENT
4.2.2,MD,MDA,93.34296,2018,PERCENT
4.2.2,MG,MDG,60.68621,2018,PERCENT
4.2.2,MV,MDV,96.17593,2017,PERCENT
4.2.2,MX,MEX,99.04342,2017,PERCENT
4.2.2,MH,MHL,63.48168,2016,PERCENT
4.2.2,MK,MKD,46.0504,2017,PERCENT
4.2.2,ML,MLI,44.84178,2018,PERCENT
4.2.2,MT,MLT,99.82135,2017,PERCENT
4.2.2,ME,MNE,75.00658,2018,PERCENT
4.2.2,MN,MNG,94.14932,2018,PERCENT
4.2.2,MS,MSR,93.43715,2018,PERCENT
4.2.2,MU,MUS,89.36503,2018,PERCENT
4.2.2,NY,MYS,99.2548,2015,PERCENT
4.2.2,NA,NAM,68.87588,2018,PERCENT
4.2.2,NE,NER,21.66316,2017,PERCENT
4.2.2,NI,NIC,100,2006,PERCENT
4.2.2,NU,NIU,63.35283,2015,PERCENT
4.2.2,NL,NLD,99.73595,2017,PERCENT
4.2.2,NO,NOR,96.24731,2017,PERCENT
4.2.2,NP,NPL,86.97027,2019,PERCENT
4.2.2,NR,NRU,97.75281,2016,PERCENT
4.2.2,NZ,NZL,91.78837,2016,PERCENT
4.2.2,OM,OMN,80.69581,2018,PERCENT
4.2.2,PK,PAK,93.88417,2018,PERCENT
4.2.2,PA,PAN,75.57578,2017,PERCENT
4.2.2,PE,PER,99.23259,2018,PERCENT
4.2.2,PH,PHL,82.98265,2017,PERCENT
4.2.2,PW,PLW,90.93903,2014,PERCENT
4.2.2,PG,PNG,71.44464,2016,PERCENT
4.2.2,PL,POL,99.12586,2017,PERCENT
4.2.2,PR,PRI,85.02325,2013,PERCENT
4.2.2,PT,PRT,99.31588,2017,PERCENT
4.2.2,PY,PRY,69.49162,2016,PERCENT
4.2.2,PS,PSE,67.79664,2018,PERCENT
4.2.2,QA,QAT,92.44451,2018,PERCENT
4.2.2,RO,ROU,78.30406,2017,PERCENT
4.2.2,RU,RUS,92.86097,2017,PERCENT
4.2.2,RW,RWA,47.84139,2018,PERCENT
4.2.2,SA,SAU,45.80565,2018,PERCENT
4.2.2,SN,SEN,15.51451,2018,PERCENT
4.2.2,SB,SLB,58.67476,2018,PERCENT
4.2.2,SL,SLE,41.67206,2018,PERCENT
4.2.2,SV,SLV,82.31171,2018,PERCENT
4.2.2,SM,SMR,93.69085,2018,PERCENT
4.2.2,RS,SRB,93.71937,2018,PERCENT
4.2.2,SS,SSD,20.54576,2015,PERCENT
4.2.2,ST,STP,52.38095,2015,PERCENT
4.2.2,SR,SUR,90.27315,2018,PERCENT
4.2.2,SK,SVK,82.32451,2017,PERCENT
4.2.2,SI,SVN,94.07689,2017,PERCENT
4.2.2,SE,SWE,99.87184,2017,PERCENT
4.2.2,SZ,SWZ,18.92514,2011,PERCENT
4.2.2,SX,SXM,95.03529,2014,PERCENT
4.2.2,SC,SYC,95.26775,2018,PERCENT
4.2.2,SY,SYR,39.58885,2013,PERCENT
4.2.2,TD,TCD,10.01568,2016,PERCENT
4.2.2,TG,TGO,96.59802,2018,PERCENT
4.2.2,TH,THA,95.68077,2015,PERCENT
4.2.2,TJ,TJK,12.49877,2017,PERCENT
4.2.2,TK,TKL,88.43537,2016,PERCENT
4.2.2,TL,TLS,42.63833,2018,PERCENT
4.2.2,TT,TTO,91.80821,2007,PERCENT
4.2.2,TN,TUN,42.0917,2002,PERCENT
4.2.2,TR,TUR,67.63903,2017,PERCENT
4.2.2,TV,TUV,88.01498,2018,PERCENT
4.2.2,TZ,TZA,55.31319,2018,PERCENT
4.2.2,UG,UGA,34.1144,2010,PERCENT
4.2.2,UY,URY,98.2887,2017,PERCENT
4.2.2,UZ,UZB,36.71731,2018,PERCENT
4.2.2,VA,VAT,0,2019,PERCENT
4.2.2,VC,VCT,95.483,2017,PERCENT
4.2.2,VE,VEN,85.79534,2017,PERCENT
4.2.2,VG,VGB,99.0296,2017,PERCENT
4.2.2,VN,VNM,99.90632,2018,PERCENT
4.2.2,WS,WSM,37.97129,2018,PERCENT
4.2.2,YE,YEM,4.37812,2013,PERCENT
4.2.2,ZW,ZWE,40.698,2013,PERCENT
