index,Country,iso3,Values,Year,Unit
16.1.1,AW,ABW,1.92688,2014,PER_100000_POP
16.1.1,AF,AFG,7.07853,2017,PER_100000_POP
16.1.1,AO,AGO,4.35616,2011,PER_100000_POP
16.1.1,AI,AIA,27.66443,2014,PER_100000_POP
16.1.1,AL,ALB,2.32082,2017,PER_100000_POP
16.1.1,AD,AND,0,2015,PER_100000_POP
16.1.1,AE,ARE,0.46809,2017,PER_100000_POP
16.1.1,AR,ARG,5.14784,2017,PER_100000_POP
16.1.1,AM,ARM,2.38908,2017,PER_100000_POP
16.1.1,AS,ASM,5.3971,2016,PER_100000_POP
16.1.1,AG,ATG,10.33303,2012,PER_100000_POP
16.1.1,AU,AUS,0.83023,2017,PER_100000_POP
16.1.1,AT,AUT,0.65522,2016,PER_100000_POP
16.1.1,AZ,AZE,2.04518,2017,PER_100000_POP
16.1.1,BI,BDI,6.02052,2016,PER_100000_POP
16.1.1,BE,BEL,1.68869,2017,PER_100000_POP
16.1.1,BJ,BEN,1.12742,2017,PER_100000_POP
16.1.1,BF,BFA,1.25046,2017,PER_100000_POP
16.1.1,BD,BGD,2.15522,2017,PER_100000_POP
16.1.1,BG,BGR,1.45378,2017,PER_100000_POP
16.1.1,BH,BHR,0.5238,2014,PER_100000_POP
16.1.1,BS,BHS,30.88608,2017,PER_100000_POP
16.1.1,BA,BIH,1.27536,2016,PER_100000_POP
16.1.1,BY,BLR,3.58466,2014,PER_100000_POP
16.1.1,BZ,BLZ,37.59917,2016,PER_100000_POP
16.1.1,BM,BMU,8.19672,2017,PER_100000_POP
16.1.1,BO,BOL,6.30019,2016,PER_100000_POP
16.1.1,BR,BRA,30.5297,2017,PER_100000_POP
16.1.1,BB,BRB,10.90716,2015,PER_100000_POP
16.1.1,BN,BRN,0.49296,2013,PER_100000_POP
16.1.1,BT,BTN,1.60891,2017,PER_100000_POP
16.1.1,CF,CAF,19.75738,2016,PER_100000_POP
16.1.1,CA,CAN,1.8021,2017,PER_100000_POP
16.1.1,CH,CHE,0.53091,2017,PER_100000_POP
16.1.1,CL,CHL,4.31459,2017,PER_100000_POP
16.1.1,CN,CHN,0.56686,2017,PER_100000_POP
16.1.1,CM,CMR,4.06911,2011,PER_100000_POP
16.1.1,CK,COK,5.55679,2012,PER_100000_POP
16.1.1,CO,COL,24.93988,2017,PER_100000_POP
16.1.1,CV,CPV,11.48583,2016,PER_100000_POP
16.1.1,CR,CRI,12.29107,2017,PER_100000_POP
