index,Country,iso3,Values,Year,Unit
3.2.1,AF,AFG,47.9,2018,PER_1000_LIVE_BIRTHS
3.2.1,AO,AGO,51.6,2018,PER_1000_LIVE_BIRTHS
3.2.1,AL,ALB,7.8,2018,PER_1000_LIVE_BIRTHS
3.2.1,AD,AND,2.7,2018,PER_1000_LIVE_BIRTHS
3.2.1,AE,ARE,6.5,2018,PER_1000_LIVE_BIRTHS
3.2.1,AR,ARG,8.8,2018,PER_1000_LIVE_BIRTHS
3.2.1,AM,ARM,11,2018,PER_1000_LIVE_BIRTHS
3.2.1,AG,ATG,5,2018,PER_1000_LIVE_BIRTHS
3.2.1,AU,AUS,3.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,AT,AUT,2.9,2018,PER_1000_LIVE_BIRTHS
3.2.1,AZ,AZE,19.2,2018,PER_1000_LIVE_BIRTHS
3.2.1,BI,BDI,41,2018,PER_1000_LIVE_BIRTHS
3.2.1,BE,BEL,2.9,2018,PER_1000_LIVE_BIRTHS
3.2.1,BJ,BEN,60.5,2018,PER_1000_LIVE_BIRTHS
3.2.1,BF,BFA,49,2018,PER_1000_LIVE_BIRTHS
3.2.1,BD,BGD,25.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,BG,BGR,5.9,2018,PER_1000_LIVE_BIRTHS
3.2.1,BH,BHR,6.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,BS,BHS,8.3,2018,PER_1000_LIVE_BIRTHS
3.2.1,BA,BIH,5,2018,PER_1000_LIVE_BIRTHS
3.2.1,BY,BLR,2.6,2018,PER_1000_LIVE_BIRTHS
3.2.1,BZ,BLZ,11.2,2018,PER_1000_LIVE_BIRTHS
3.2.1,BO,BOL,21.8,2018,PER_1000_LIVE_BIRTHS
3.2.1,BR,BRA,12.8,2018,PER_1000_LIVE_BIRTHS
3.2.1,BB,BRB,11.3,2018,PER_1000_LIVE_BIRTHS
3.2.1,BN,BRN,9.8,2018,PER_1000_LIVE_BIRTHS
3.2.1,BT,BTN,24.8,2018,PER_1000_LIVE_BIRTHS
3.2.1,BW,BWA,30,2018,PER_1000_LIVE_BIRTHS
3.2.1,CF,CAF,84.5,2018,PER_1000_LIVE_BIRTHS
3.2.1,CA,CAN,4.3,2018,PER_1000_LIVE_BIRTHS
3.2.1,CH,CHE,3.7,2018,PER_1000_LIVE_BIRTHS
3.2.1,CL,CHL,6.2,2018,PER_1000_LIVE_BIRTHS
3.2.1,CN,CHN,7.4,2018,PER_1000_LIVE_BIRTHS
3.2.1,CI,CIV,59.4,2018,PER_1000_LIVE_BIRTHS
3.2.1,CM,CMR,50.6,2018,PER_1000_LIVE_BIRTHS
3.2.1,CD,COD,68.2,2018,PER_1000_LIVE_BIRTHS
3.2.1,CG,COG,36.2,2018,PER_1000_LIVE_BIRTHS
3.2.1,CK,COK,6.7,2018,PER_1000_LIVE_BIRTHS
3.2.1,CO,COL,12.2,2018,PER_1000_LIVE_BIRTHS
3.2.1,KM,COM,51.3,2018,PER_1000_LIVE_BIRTHS
3.2.1,CV,CPV,16.7,2018,PER_1000_LIVE_BIRTHS
3.2.1,CR,CRI,7.6,2018,PER_1000_LIVE_BIRTHS
3.2.1,CU,CUB,3.7,2018,PER_1000_LIVE_BIRTHS
3.2.1,CY,CYP,1.9,2018,PER_1000_LIVE_BIRTHS
3.2.1,CZ,CZE,2.7,2018,PER_1000_LIVE_BIRTHS
3.2.1,DE,DEU,3.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,DJ,DJI,49.8,2018,PER_1000_LIVE_BIRTHS
3.2.1,DM,DMA,32.9,2018,PER_1000_LIVE_BIRTHS
3.2.1,DK,DNK,3.6,2018,PER_1000_LIVE_BIRTHS
3.2.1,DO,DOM,24.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,DZ,DZA,20.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,EC,ECU,12.2,2018,PER_1000_LIVE_BIRTHS
3.2.1,EG,EGY,18.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,ER,ERI,31.3,2018,PER_1000_LIVE_BIRTHS
3.2.1,ES,ESP,2.5,2018,PER_1000_LIVE_BIRTHS
3.2.1,EE,EST,2.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,ET,ETH,39.1,2018,PER_1000_LIVE_BIRTHS
3.2.1,FI,FIN,1.4,2018,PER_1000_LIVE_BIRTHS
3.2.1,FJ,FJI,21.6,2018,PER_1000_LIVE_BIRTHS
3.2.1,FR,FRA,3.4,2018,PER_1000_LIVE_BIRTHS
3.2.1,FM,FSM,25.6,2018,PER_1000_LIVE_BIRTHS
3.2.1,GA,GAB,32.7,2018,PER_1000_LIVE_BIRTHS
3.2.1,GB,GBR,3.6,2018,PER_1000_LIVE_BIRTHS
3.2.1,GE,GEO,8.7,2018,PER_1000_LIVE_BIRTHS
3.2.1,GH,GHA,34.9,2018,PER_1000_LIVE_BIRTHS
3.2.1,GN,GIN,64.9,2018,PER_1000_LIVE_BIRTHS
3.2.1,GM,GMB,39,2018,PER_1000_LIVE_BIRTHS
