index,Country,iso3,Values,Year,Unit
1.1.1,AO,AGO,48,2018,PERCENT
1.1.1,AL,ALB,2,2017,PERCENT
1.1.1,AE,ARE,0,2014,PERCENT
1.1.1,AR,ARG,1,2018,PERCENT
1.1.1,AM,ARM,2,2018,PERCENT
1.1.1,AU,AUS,1,2014,PERCENT
1.1.1,AT,AUT,0,2017,PERCENT
1.1.1,AZ,AZE,0,2005,PERCENT
1.1.1,BI,BDI,72,2013,PERCENT
1.1.1,BE,BEL,0,2017,PERCENT
1.1.1,BJ,BEN,50,2015,PERCENT
1.1.1,BF,BFA,44,2014,PERCENT
1.1.1,BD,BGD,15,2016,PERCENT
1.1.1,BG,BGR,1,2017,PERCENT
1.1.1,BA,BIH,0,2011,PERCENT
1.1.1,BY,BLR,0,2018,PERCENT
1.1.1,BO,BOL,5,2018,PERCENT
1.1.1,BR,BRA,4,2018,PERCENT
1.1.1,BT,BTN,2,2017,PERCENT
1.1.1,BW,BWA,16,2015,PERCENT
1.1.1,CF,CAF,66,2008,PERCENT
1.1.1,CA,CAN,1,2013,PERCENT
1.1.1,CH,CHE,0,2017,PERCENT
1.1.1,CL,CHL,0,2017,PERCENT
1.1.1,CN,CHN,1,2016,PERCENT
1.1.1,CI,CIV,28,2015,PERCENT
1.1.1,CM,CMR,24,2014,PERCENT
1.1.1,CD,COD,77,2012,PERCENT
1.1.1,CG,COG,37,2011,PERCENT
1.1.1,CO,COL,4,2018,PERCENT
1.1.1,KM,COM,18,2014,PERCENT
1.1.1,CV,CPV,3,2015,PERCENT
1.1.1,CR,CRI,1,2018,PERCENT
1.1.1,CY,CYP,0,2017,PERCENT
1.1.1,CZ,CZE,0,2017,PERCENT
1.1.1,DE,DEU,0,2016,PERCENT
1.1.1,DJ,DJI,17,2017,PERCENT
1.1.1,DK,DNK,0,2017,PERCENT
1.1.1,DO,DOM,0,2018,PERCENT
1.1.1,DZ,DZA,1,2011,PERCENT
1.1.1,EC,ECU,3,2018,PERCENT
1.1.1,EG,EGY,3,2017,PERCENT
1.1.1,ES,ESP,1,2017,PERCENT
1.1.1,EE,EST,0,2017,PERCENT
1.1.1,ET,ETH,31,2015,PERCENT
1.1.1,FI,FIN,0,2017,PERCENT
1.1.1,FJ,FJI,1,2013,PERCENT
1.1.1,FR,FRA,0,2017,PERCENT
1.1.1,FM,FSM,15,2013,PERCENT
1.1.1,GA,GAB,3,2017,PERCENT
1.1.1,GB,GBR,0,2016,PERCENT
1.1.1,GE,GEO,5,2018,PERCENT
1.1.1,GH,GHA,13,2016,PERCENT
1.1.1,GN,GIN,35,2012,PERCENT
1.1.1,GM,GMB,10,2015,PERCENT
1.1.1,GW,GNB,67,2010,PERCENT
1.1.1,GR,GRC,1,2017,PERCENT
1.1.1,GT,GTM,9,2014,PERCENT
1.1.1,HN,HND,17,2018,PERCENT
1.1.1,HR,HRV,1,2017,PERCENT
1.1.1,HT,HTI,24,2012,PERCENT
1.1.1,HU,HUN,1,2017,PERCENT
1.1.1,ID,IDN,5,2018,PERCENT
1.1.1,IN,IND,21,2011,PERCENT
1.1.1,IE,IRL,0,2016,PERCENT
1.1.1,IR,IRN,0,2017,PERCENT
1.1.1,IQ,IRQ,3,2012,PERCENT
1.1.1,IS,ISL,0,2015,PERCENT
1.1.1,IL,ISR,0,2016,PERCENT
1.1.1,IT,ITA,1,2017,PERCENT
1.1.1,JM,JAM,2,2004,PERCENT
1.1.1,JO,JOR,0,2010,PERCENT
1.1.1,JP,JPN,1,2013,PERCENT
1.1.1,KZ,KAZ,0,2017,PERCENT
1.1.1,KE,KEN,37,2015,PERCENT
1.1.1,KG,KGZ,1,2018,PERCENT
1.1.1,KI,KIR,13,2006,PERCENT
1.1.1,KR,KOR,0,2012,PERCENT
1.1.1,LA,LAO,23,2012,PERCENT
1.1.1,LB,LBN,0,2011,PERCENT
1.1.1,LR,LBR,41,2016,PERCENT
1.1.1,LC,LCA,5,2016,PERCENT
1.1.1,LK,LKA,1,2016,PERCENT
1.1.1,LS,LSO,27,2017,PERCENT
1.1.1,LT,LTU,1,2017,PERCENT
1.1.1,LU,LUX,0,2017,PERCENT
1.1.1,LV,LVA,1,2017,PERCENT
1.1.1,MA,MAR,1,2013,PERCENT
1.1.1,MD,MDA,0,2018,PERCENT
1.1.1,MG,MDG,78,2012,PERCENT
1.1.1,MV,MDV,0,2016,PERCENT
1.1.1,MX,MEX,2,2018,PERCENT
1.1.1,MK,MKD,4,2017,PERCENT
1.1.1,ML,MLI,50,2009,PERCENT
1.1.1,MT,MLT,0,2017,PERCENT
1.1.1,MM,MMR,2,2017,PERCENT
1.1.1,ME,MNE,2,2015,PERCENT
1.1.1,MN,MNG,1,2018,PERCENT
1.1.1,MZ,MOZ,63,2014,PERCENT
1.1.1,MR,MRT,6,2014,PERCENT
1.1.1,MU,MUS,0,2017,PERCENT
1.1.1,MW,MWI,70,2016,PERCENT
1.1.1,NY,MYS,0,2015,PERCENT
1.1.1,NA,NAM,13,2015,PERCENT
1.1.1,NE,NER,45,2014,PERCENT
1.1.1,NG,NGA,54,2009,PERCENT
1.1.1,NI,NIC,3,2014,PERCENT
1.1.1,NL,NLD,0,2017,PERCENT
1.1.1,NO,NOR,0,2017,PERCENT
1.1.1,NP,NPL,15,2010,PERCENT
1.1.1,PK,PAK,4,2015,PERCENT
1.1.1,PA,PAN,2,2018,PERCENT
1.1.1,PE,PER,3,2018,PERCENT
1.1.1,PH,PHL,6,2015,PERCENT
1.1.1,PG,PNG,38,2009,PERCENT
1.1.1,PL,POL,0,2017,PERCENT
1.1.1,PT,PRT,0,2017,PERCENT
1.1.1,PY,PRY,2,2018,PERCENT
1.1.1,PS,PSE,1,2016,PERCENT
1.1.1,RO,ROU,4,2017,PERCENT
1.1.1,RU,RUS,0,2018,PERCENT
1.1.1,RW,RWA,56,2016,PERCENT
1.1.1,SD,SDN,13,2014,PERCENT
1.1.1,SN,SEN,38,2011,PERCENT
1.1.1,SB,SLB,25,2013,PERCENT
1.1.1,SL,SLE,40,2018,PERCENT
1.1.1,SV,SLV,2,2018,PERCENT
1.1.1,RS,SRB,6,2017,PERCENT
1.1.1,SS,SSD,43,2009,PERCENT
1.1.1,ST,STP,35,2017,PERCENT
1.1.1,SK,SVK,1,2016,PERCENT
1.1.1,SI,SVN,0,2017,PERCENT
1.1.1,SE,SWE,0,2017,PERCENT
1.1.1,SZ,SWZ,28,2016,PERCENT
1.1.1,SC,SYC,1,2013,PERCENT
1.1.1,SY,SYR,2,2004,PERCENT
1.1.1,TD,TCD,38,2011,PERCENT
1.1.1,TG,TGO,50,2015,PERCENT
1.1.1,TH,THA,0,2018,PERCENT
1.1.1,TJ,TJK,5,2015,PERCENT
1.1.1,TL,TLS,31,2014,PERCENT
1.1.1,TO,TON,1,2015,PERCENT
1.1.1,TN,TUN,0,2015,PERCENT
1.1.1,TR,TUR,0,2018,PERCENT
1.1.1,TV,TUV,3,2010,PERCENT
1.1.1,TZ,TZA,49,2017,PERCENT
1.1.1,UG,UGA,42,2016,PERCENT
1.1.1,UA,UKR,0,2018,PERCENT
1.1.1,UY,URY,0,2018,PERCENT
1.1.1,US,USA,1,2016,PERCENT
1.1.1,UZ,UZB,62,2003,PERCENT
1.1.1,VE,VEN,10,2006,PERCENT
1.1.1,VN,VNM,2,2018,PERCENT
1.1.1,VU,VUT,13,2010,PERCENT
1.1.1,WS,WSM,1,2013,PERCENT
1.1.1,YE,YEM,19,2014,PERCENT
1.1.1,ZA,ZAF,19,2014,PERCENT
1.1.1,ZM,ZMB,58,2015,PERCENT
1.1.1,ZW,ZWE,34,2017,PERCENT
