index,Country,iso3,Values,Year,Unit
5.5.1,AF,AFG,67,2020,NUMBER
5.5.1,AO,AGO,66,2020,NUMBER
5.5.1,AL,ALB,36,2020,NUMBER
5.5.1,AD,AND,13,2020,NUMBER
5.5.1,AE,ARE,20,2020,NUMBER
5.5.1,AR,ARG,105,2020,NUMBER
5.5.1,AM,ARM,31,2020,NUMBER
5.5.1,AG,ATG,2,2020,NUMBER
5.5.1,AU,AUS,46,2020,NUMBER
5.5.1,AT,AUT,72,2020,NUMBER
5.5.1,AZ,AZE,20,2020,NUMBER
5.5.1,BI,BDI,44,2020,NUMBER
5.5.1,BE,BEL,61,2020,NUMBER
5.5.1,BJ,BEN,6,2020,NUMBER
5.5.1,BF,BFA,17,2020,NUMBER
5.5.1,BD,BGD,73,2020,NUMBER
5.5.1,BG,BGR,64,2020,NUMBER
5.5.1,BH,BHR,6,2020,NUMBER
5.5.1,BS,BHS,5,2020,NUMBER
5.5.1,BA,BIH,9,2020,NUMBER
5.5.1,BY,BLR,44,2020,NUMBER
5.5.1,BZ,BLZ,3,2020,NUMBER
5.5.1,BO,BOL,69,2020,NUMBER
5.5.1,BR,BRA,75,2020,NUMBER
5.5.1,BB,BRB,6,2020,NUMBER
5.5.1,BN,BRN,3,2020,NUMBER
5.5.1,BT,BTN,7,2020,NUMBER
5.5.1,BW,BWA,7,2020,NUMBER
5.5.1,CF,CAF,12,2020,NUMBER
5.5.1,CA,CAN,98,2020,NUMBER
5.5.1,CH,CHE,83,2020,NUMBER
5.5.1,CL,CHL,35,2020,NUMBER
5.5.1,CN,CHN,742,2020,NUMBER
5.5.1,CI,CIV,30,2020,NUMBER
5.5.1,CM,CMR,56,2020,NUMBER
5.5.1,CD,COD,64,2020,NUMBER
5.5.1,CG,COG,17,2020,NUMBER
5.5.1,CO,COL,31,2020,NUMBER
5.5.1,KM,COM,2,2020,NUMBER
5.5.1,CV,CPV,18,2020,NUMBER
5.5.1,CR,CRI,26,2020,NUMBER
5.5.1,CU,CUB,322,2020,NUMBER
5.5.1,CY,CYP,11,2020,NUMBER
5.5.1,CZ,CZE,45,2020,NUMBER
5.5.1,DE,DEU,221,2020,NUMBER
5.5.1,DJ,DJI,17,2020,NUMBER
5.5.1,DM,DMA,8,2020,NUMBER
5.5.1,DK,DNK,71,2020,NUMBER
5.5.1,DO,DOM,53,2020,NUMBER
5.5.1,DZ,DZA,119,2020,NUMBER
5.5.1,EC,ECU,54,2020,NUMBER
5.5.1,EG,EGY,90,2020,NUMBER
5.5.1,ER,ERI,33,2019,NUMBER
5.5.1,ES,ESP,154,2020,NUMBER
5.5.1,EE,EST,29,2020,NUMBER
5.5.1,ET,ETH,212,2020,NUMBER
5.5.1,FI,FIN,92,2020,NUMBER
5.5.1,FJ,FJI,10,2020,NUMBER
5.5.1,FR,FRA,228,2020,NUMBER
5.5.1,FM,FSM,0,2020,NUMBER
5.5.1,GA,GAB,21,2020,NUMBER
5.5.1,GB,GBR,220,2020,NUMBER
5.5.1,GE,GEO,21,2020,NUMBER
5.5.1,GH,GHA,36,2020,NUMBER
5.5.1,GN,GIN,26,2020,NUMBER
5.5.1,GM,GMB,5,2020,NUMBER
5.5.1,GW,GNB,14,2020,NUMBER
5.5.1,GQ,GNQ,21,2020,NUMBER
5.5.1,GR,GRC,62,2020,NUMBER
5.5.1,GD,GRD,7,2020,NUMBER
5.5.1,GT,GTM,30,2020,NUMBER
5.5.1,GY,GUY,24,2020,NUMBER
5.5.1,HN,HND,27,2020,NUMBER
5.5.1,HR,HRV,29,2020,NUMBER
5.5.1,HT,HTI,3,2020,NUMBER
5.5.1,HU,HUN,24,2020,NUMBER
5.5.1,ID,IDN,117,2020,NUMBER
5.5.1,IN,IND,78,2020,NUMBER
5.5.1,IE,IRL,33,2020,NUMBER
5.5.1,IR,IRN,17,2020,NUMBER
5.5.1,IQ,IRQ,87,2020,NUMBER
5.5.1,IS,ISL,24,2020,NUMBER
5.5.1,IL,ISR,28,2020,NUMBER
5.5.1,IT,ITA,225,2020,NUMBER
5.5.1,JM,JAM,11,2020,NUMBER
5.5.1,JO,JOR,20,2020,NUMBER
5.5.1,JP,JPN,46,2020,NUMBER
5.5.1,KZ,KAZ,29,2020,NUMBER
5.5.1,KE,KEN,76,2020,NUMBER
5.5.1,KG,KGZ,23,2020,NUMBER
5.5.1,KH,KHM,25,2020,NUMBER
5.5.1,KI,KIR,3,2020,NUMBER
5.5.1,KN,KNA,3,2020,NUMBER
5.5.1,KR,KOR,51,2020,NUMBER
5.5.1,KW,KWT,4,2020,NUMBER
5.5.1,LA,LAO,41,2020,NUMBER
5.5.1,LB,LBN,6,2020,NUMBER
5.5.1,LR,LBR,9,2020,NUMBER
5.5.1,LY,LBY,30,2020,NUMBER
5.5.1,LC,LCA,3,2020,NUMBER
5.5.1,LI,LIE,3,2020,NUMBER
5.5.1,LK,LKA,12,2020,NUMBER
5.5.1,LS,LSO,28,2020,NUMBER
5.5.1,LT,LTU,34,2020,NUMBER
5.5.1,LU,LUX,18,2020,NUMBER
5.5.1,LV,LVA,30,2020,NUMBER
5.5.1,MA,MAR,81,2020,NUMBER
5.5.1,MC,MCO,8,2020,NUMBER
5.5.1,MD,MDA,25,2020,NUMBER
5.5.1,MG,MDG,24,2020,NUMBER
5.5.1,MV,MDV,4,2020,NUMBER
5.5.1,MX,MEX,241,2020,NUMBER
5.5.1,MH,MHL,2,2020,NUMBER
5.5.1,MK,MKD,48,2020,NUMBER
5.5.1,ML,MLI,14,2020,NUMBER
5.5.1,MT,MLT,9,2020,NUMBER
5.5.1,MM,MMR,48,2020,NUMBER
5.5.1,ME,MNE,24,2020,NUMBER
5.5.1,MN,MNG,13,2020,NUMBER
5.5.1,MZ,MOZ,103,2020,NUMBER
5.5.1,MR,MRT,31,2020,NUMBER
5.5.1,MU,MUS,14,2020,NUMBER
5.5.1,MW,MWI,44,2020,NUMBER
5.5.1,NY,MYS,32,2020,NUMBER
5.5.1,NA,NAM,41,2020,NUMBER
5.5.1,NE,NER,29,2020,NUMBER
5.5.1,NG,NGA,12,2020,NUMBER
5.5.1,NI,NIC,43,2020,NUMBER
5.5.1,NL,NLD,50,2020,NUMBER
5.5.1,NO,NOR,70,2020,NUMBER
5.5.1,NP,NPL,90,2020,NUMBER
5.5.1,NR,NRU,2,2020,NUMBER
5.5.1,NZ,NZL,49,2020,NUMBER
5.5.1,OM,OMN,2,2020,NUMBER
5.5.1,PK,PAK,69,2020,NUMBER
5.5.1,PA,PAN,16,2020,NUMBER
5.5.1,PE,PER,39,2020,NUMBER
5.5.1,PH,PHL,85,2020,NUMBER
5.5.1,PW,PLW,2,2020,NUMBER
5.5.1,PG,PNG,0,2020,NUMBER
5.5.1,PL,POL,132,2020,NUMBER
5.5.1,KP,PRK,121,2020,NUMBER
5.5.1,PT,PRT,92,2020,NUMBER
5.5.1,PY,PRY,13,2020,NUMBER
5.5.1,QA,QAT,4,2020,NUMBER
5.5.1,RO,ROU,72,2020,NUMBER
5.5.1,RU,RUS,71,2020,NUMBER
5.5.1,RW,RWA,49,2020,NUMBER
5.5.1,SA,SAU,30,2020,NUMBER
5.5.1,SD,SDN,133,2019,NUMBER
5.5.1,SN,SEN,71,2020,NUMBER
5.5.1,SG,SGP,24,2020,NUMBER
5.5.1,SB,SLB,3,2020,NUMBER
5.5.1,SL,SLE,18,2020,NUMBER
5.5.1,SV,SLV,28,2020,NUMBER
5.5.1,SM,SMR,19,2020,NUMBER
5.5.1,SO,SOM,67,2020,NUMBER
5.5.1,RS,SRB,93,2020,NUMBER
5.5.1,SS,SSD,109,2020,NUMBER
5.5.1,ST,STP,8,2020,NUMBER
5.5.1,SR,SUR,16,2020,NUMBER
5.5.1,SK,SVK,31,2020,NUMBER
5.5.1,SI,SVN,25,2020,NUMBER
5.5.1,SE,SWE,164,2020,NUMBER
5.5.1,SZ,SWZ,7,2020,NUMBER
5.5.1,SC,SYC,7,2020,NUMBER
5.5.1,SY,SYR,31,2020,NUMBER
5.5.1,TD,TCD,25,2020,NUMBER
