index,Country,iso3,Values,Year,Unit
10.4.1,AF,AFG,44.57,2017,PERCENT
10.4.1,AO,AGO,47.31,2017,PERCENT
10.4.1,AL,ALB,53.14,2017,PERCENT
10.4.1,AE,ARE,36.79,2017,PERCENT
10.4.1,AR,ARG,58.53,2017,PERCENT
10.4.1,AM,ARM,46.34,2017,PERCENT
10.4.1,AU,AUS,57.23,2017,PERCENT
10.4.1,AT,AUT,60.87,2017,PERCENT
10.4.1,AZ,AZE,51.21,2017,PERCENT
10.4.1,BI,BDI,56.98,2017,PERCENT
10.4.1,BE,BEL,62.45,2017,PERCENT
10.4.1,BJ,BEN,46.64,2017,PERCENT
10.4.1,BF,BFA,48.47,2017,PERCENT
10.4.1,BD,BGD,42.17,2017,PERCENT
10.4.1,BG,BGR,51.42,2017,PERCENT
10.4.1,BH,BHR,29.98,2017,PERCENT
10.4.1,BS,BHS,58.27,2017,PERCENT
10.4.1,BA,BIH,41.68,2017,PERCENT
10.4.1,BY,BLR,48.97,2017,PERCENT
10.4.1,BZ,BLZ,49.96,2017,PERCENT
10.4.1,BO,BOL,54.39,2017,PERCENT
10.4.1,BR,BRA,60.37,2017,PERCENT
10.4.1,BB,BRB,58.3,2017,PERCENT
10.4.1,BN,BRN,47.86,2017,PERCENT
10.4.1,BT,BTN,45.24,2017,PERCENT
10.4.1,BW,BWA,46.18,2017,PERCENT
10.4.1,CF,CAF,55.34,2017,PERCENT
10.4.1,CA,CAN,60.96,2017,PERCENT
10.4.1,CH,CHE,70.71,2017,PERCENT
10.4.1,CL,CHL,62.13,2017,PERCENT
10.4.1,CN,CHN,51.32,2017,PERCENT
10.4.1,CI,CIV,27.45,2017,PERCENT
10.4.1,CM,CMR,36.43,2017,PERCENT
10.4.1,CD,COD,39.4,2017,PERCENT
10.4.1,CG,COG,53.24,2017,PERCENT
10.4.1,CO,COL,53.03,2017,PERCENT
10.4.1,KM,COM,34.8,2017,PERCENT
10.4.1,CV,CPV,42.24,2017,PERCENT
10.4.1,CR,CRI,56.03,2017,PERCENT
10.4.1,CU,CUB,38.18,2017,PERCENT
10.4.1,CY,CYP,48.88,2017,PERCENT
10.4.1,CZ,CZE,50.44,2017,PERCENT
10.4.1,DE,DEU,60.33,2017,PERCENT
10.4.1,DJ,DJI,40.78,2017,PERCENT
10.4.1,DK,DNK,58.14,2017,PERCENT
10.4.1,DO,DOM,50.8,2017,PERCENT
10.4.1,DZ,DZA,46.34,2017,PERCENT
10.4.1,EC,ECU,52.12,2017,PERCENT
10.4.1,EG,EGY,34.9,2017,PERCENT
10.4.1,ER,ERI,39.64,2017,PERCENT
10.4.1,EH,ESH,40.54,2017,PERCENT
10.4.1,ES,ESP,61.24,2017,PERCENT
10.4.1,EE,EST,58.22,2017,PERCENT
10.4.1,ET,ETH,44.13,2017,PERCENT
10.4.1,FI,FIN,56.35,2017,PERCENT
10.4.1,FJ,FJI,45.55,2017,PERCENT
10.4.1,FR,FRA,60.98,2017,PERCENT
10.4.1,GA,GAB,26.99,2017,PERCENT
10.4.1,GB,GBR,57.98,2017,PERCENT
10.4.1,GE,GEO,49.51,2017,PERCENT
10.4.1,GH,GHA,47.82,2017,PERCENT
10.4.1,GN,GIN,58.09,2017,PERCENT
10.4.1,GM,GMB,39.7,2017,PERCENT
10.4.1,GW,GNB,39.4,2017,PERCENT
10.4.1,GQ,GNQ,51.91,2017,PERCENT
10.4.1,GR,GRC,50.34,2017,PERCENT
10.4.1,GT,GTM,38.82,2017,PERCENT
10.4.1,GU,GUM,51.16,2017,PERCENT
10.4.1,GY,GUY,55.01,2017,PERCENT
10.4.1,HK,HKG,54.04,2017,PERCENT
10.4.1,HN,HND,65.7,2017,PERCENT
10.4.1,HR,HRV,58.15,2017,PERCENT
10.4.1,HT,HTI,48.41,2017,PERCENT
10.4.1,HU,HUN,47.61,2017,PERCENT
10.4.1,ID,IDN,38.06,2017,PERCENT
10.4.1,IN,IND,49,2017,PERCENT
10.4.1,IE,IRL,36.58,2017,PERCENT
10.4.1,IR,IRN,36.17,2017,PERCENT
10.4.1,IQ,IRQ,27.33,2017,PERCENT
10.4.1,IS,ISL,61.35,2017,PERCENT
10.4.1,IL,ISR,53.19,2017,PERCENT
10.4.1,IT,ITA,57.45,2017,PERCENT
10.4.1,JM,JAM,63.64,2017,PERCENT
10.4.1,JO,JOR,36.5,2017,PERCENT
10.4.1,JP,JPN,54.19,2017,PERCENT
10.4.1,KZ,KAZ,41.01,2017,PERCENT
10.4.1,KE,KEN,43.92,2017,PERCENT
10.4.1,KG,KGZ,39.44,2017,PERCENT
10.4.1,KH,KHM,37.63,2017,PERCENT
10.4.1,KR,KOR,53.81,2017,PERCENT
10.4.1,KW,KWT,29.4,2017,PERCENT
10.4.1,LA,LAO,49.74,2017,PERCENT
10.4.1,LB,LBN,47.53,2017,PERCENT
10.4.1,LR,LBR,38.88,2017,PERCENT
10.4.1,LY,LBY,41.22,2017,PERCENT
10.4.1,LC,LCA,49.99,2017,PERCENT
10.4.1,LK,LKA,37.11,2017,PERCENT
10.4.1,LS,LSO,66.73,2017,PERCENT
10.4.1,LT,LTU,47.58,2017,PERCENT
10.4.1,LU,LUX,56.21,2017,PERCENT
10.4.1,LV,LVA,53.45,2017,PERCENT
10.4.1,MO,MAC,31.67,2017,PERCENT
10.4.1,MA,MAR,43.52,2017,PERCENT
