index,Country,iso3,Values,Year,Unit
13.1.1,AF,AFG,69,2017,PER_100000_POP
13.1.1,AO,AGO,108,2018,PER_100000_POP
13.1.1,AL,ALB,160,2018,PER_100000_POP
13.1.1,AR,ARG,302,2017,PER_100000_POP
13.1.1,AM,ARM,281,2017,PER_100000_POP
13.1.1,AG,ATG,41,2014,PER_100000_POP
13.1.1,AU,AUS,101,2018,PER_100000_POP
13.1.1,BI,BDI,561,2017,PER_100000_POP
13.1.1,BF,BFA,0,2016,PER_100000_POP
13.1.1,BD,BGD,7521,2017,PER_100000_POP
13.1.1,BG,BGR,9,2018,PER_100000_POP
13.1.1,BZ,BLZ,1631,2010,PER_100000_POP
13.1.1,BO,BOL,47,2015,PER_100000_POP
13.1.1,BB,BRB,67,2018,PER_100000_POP
13.1.1,BT,BTN,30,2018,PER_100000_POP
13.1.1,BW,BWA,262,2018,PER_100000_POP
13.1.1,CH,CHE,3404,2017,PER_100000_POP
13.1.1,CL,CHL,82,2017,PER_100000_POP
13.1.1,CN,CHN,459,2018,PER_100000_POP
13.1.1,CO,COL,393,2018,PER_100000_POP
13.1.1,KM,COM,50,2018,PER_100000_POP
13.1.1,CV,CPV,2,2017,PER_100000_POP
13.1.1,CR,CRI,0,2018,PER_100000_POP
13.1.1,CY,CYP,79,2018,PER_100000_POP
13.1.1,CZ,CZE,293,2017,PER_100000_POP
13.1.1,DJ,DJI,1,2012,PER_100000_POP
13.1.1,DM,DMA,12,2014,PER_100000_POP
13.1.1,EC,ECU,0,2018,PER_100000_POP
13.1.1,EG,EGY,21,2017,PER_100000_POP
13.1.1,EE,EST,45,2010,PER_100000_POP
13.1.1,ET,ETH,5,2012,PER_100000_POP
13.1.1,FI,FIN,5,2017,PER_100000_POP
13.1.1,FJ,FJI,17075,2018,PER_100000_POP
13.1.1,FR,FRA,17,2017,PER_100000_POP
13.1.1,GE,GEO,3,2017,PER_100000_POP
13.1.1,GH,GHA,20,2018,PER_100000_POP
13.1.1,GM,GMB,92,2018,PER_100000_POP
13.1.1,GW,GNB,0,2018,PER_100000_POP
13.1.1,GQ,GNQ,35,2017,PER_100000_POP
13.1.1,GD,GRD,73,2011,PER_100000_POP
13.1.1,GT,GTM,58,2018,PER_100000_POP
13.1.1,GY,GUY,1143,2013,PER_100000_POP
13.1.1,HN,HND,3946,2015,PER_100000_POP
13.1.1,HR,HRV,183,2017,PER_100000_POP
13.1.1,ID,IDN,4159,2018,PER_100000_POP
13.1.1,IE,IRL,44,2016,PER_100000_POP
13.1.1,IR,IRN,1245,2011,PER_100000_POP
13.1.1,JM,JAM,1307,2012,PER_100000_POP
13.1.1,JO,JOR,1,2018,PER_100000_POP
13.1.1,JP,JPN,157,2016,PER_100000_POP
13.1.1,KZ,KAZ,86,2018,PER_100000_POP
13.1.1,KE,KEN,0,2017,PER_100000_POP
13.1.1,KG,KGZ,18,2017,PER_100000_POP
13.1.1,KH,KHM,269,2017,PER_100000_POP
13.1.1,KI,KIR,159,2014,PER_100000_POP
