index,Country,iso3,Values,Year,Unit
8.1.1,AW,ABW,0.45,2018,PERCENT
8.1.1,AF,AFG,-3.98,2018,PERCENT
8.1.1,AO,AGO,-4.38,2018,PERCENT
8.1.1,AI,AIA,-5.98,2018,PERCENT
8.1.1,AL,ALB,4.11,2018,PERCENT
8.1.1,AD,AND,1.62,2018,PERCENT
8.1.1,AE,ARE,0.21,2018,PERCENT
8.1.1,AR,ARG,-3.45,2018,PERCENT
8.1.1,AM,ARM,4.99,2018,PERCENT
8.1.1,AG,ATG,6.43,2018,PERCENT
8.1.1,AU,AUS,0.67,2018,PERCENT
8.1.1,AT,AUT,1.6,2018,PERCENT
8.1.1,AZ,AZE,0.35,2018,PERCENT
8.1.1,BI,BDI,-2.97,2018,PERCENT
8.1.1,BE,BEL,0.91,2018,PERCENT
8.1.1,BJ,BEN,3.67,2018,PERCENT
8.1.1,BF,BFA,3.8,2018,PERCENT
8.1.1,BD,BGD,6.73,2018,PERCENT
8.1.1,BG,BGR,3.83,2018,PERCENT
8.1.1,BH,BHR,-2.39,2018,PERCENT
8.1.1,BS,BHS,0.54,2018,PERCENT
8.1.1,BA,BIH,3.42,2018,PERCENT
8.1.1,BY,BLR,3.01,2018,PERCENT
8.1.1,BZ,BLZ,0.13,2018,PERCENT
8.1.1,BM,BMU,0.05,2018,PERCENT
8.1.1,BO,BOL,2.75,2018,PERCENT
8.1.1,BR,BRA,0.33,2018,PERCENT
8.1.1,BB,BRB,-0.55,2018,PERCENT
8.1.1,BN,BRN,-0.99,2018,PERCENT
8.1.1,BT,BTN,4.54,2018,PERCENT
8.1.1,BW,BWA,2.18,2018,PERCENT
8.1.1,CF,CAF,2.77,2018,PERCENT
8.1.1,CA,CAN,0.94,2018,PERCENT
8.1.1,CH,CHE,1.91,2018,PERCENT
8.1.1,CL,CHL,2.59,2018,PERCENT
8.1.1,CN,CHN,6.07,2018,PERCENT
8.1.1,CI,CIV,4.73,2018,PERCENT
8.1.1,CM,CMR,1.38,2018,PERCENT
8.1.1,CD,COD,2.43,2018,PERCENT
8.1.1,CG,COG,-1.55,2018,PERCENT
8.1.1,CK,COK,5.6,2018,PERCENT
8.1.1,CO,COL,1.11,2018,PERCENT
8.1.1,KM,COM,0.68,2018,PERCENT
8.1.1,CV,CPV,3.87,2018,PERCENT
8.1.1,CR,CRI,1.65,2018,PERCENT
8.1.1,CU,CUB,2.26,2018,PERCENT
8.1.1,CW,CUW,-2.62,2018,PERCENT
8.1.1,KY,CYM,2,2018,PERCENT
8.1.1,CY,CYP,3.22,2018,PERCENT
8.1.1,CZ,CZE,2.72,2018,PERCENT
8.1.1,DE,DEU,0.96,2018,PERCENT
8.1.1,DJ,DJI,4.02,2018,PERCENT
8.1.1,DM,DMA,2.03,2018,PERCENT
8.1.1,DK,DNK,2.04,2018,PERCENT
8.1.1,DO,DOM,5.8,2018,PERCENT
