index,Country,iso3,Values,Year,Unit
11.1.1,AF,AFG,71.3,2016,PERCENT
11.1.1,AO,AGO,48.8,2016,PERCENT
11.1.1,AR,ARG,14.7,2016,PERCENT
11.1.1,AM,ARM,9.3,2016,PERCENT
11.1.1,BI,BDI,48.6,2016,PERCENT
11.1.1,BJ,BEN,59.6,2016,PERCENT
11.1.1,BF,BFA,58.5,2016,PERCENT
11.1.1,BD,BGD,49.4,2016,PERCENT
11.1.1,BA,BIH,7.6,2016,PERCENT
11.1.1,BY,BLR,45.2,2016,PERCENT
11.1.1,BZ,BLZ,5.1,2016,PERCENT
11.1.1,BO,BOL,49.5,2016,PERCENT
11.1.1,BR,BRA,16.3,2016,PERCENT
11.1.1,CF,CAF,97.5,2016,PERCENT
11.1.1,CA,CAN,0.01,2016,PERCENT
11.1.1,CL,CHL,9,2014,PERCENT
11.1.1,CN,CHN,25.2,2014,PERCENT
11.1.1,CI,CIV,59.2,2016,PERCENT
11.1.1,CM,CMR,21.7,2016,PERCENT
11.1.1,CD,COD,79.1,2016,PERCENT
11.1.1,CG,COG,48,2016,PERCENT
11.1.1,CO,COL,28.1,2016,PERCENT
11.1.1,KM,COM,69.6,2016,PERCENT
11.1.1,CR,CRI,3.9,2016,PERCENT
11.1.1,CU,CUB,6.6,2016,PERCENT
11.1.1,DE,DEU,0.01,2016,PERCENT
11.1.1,DJ,DJI,65.6,2016,PERCENT
11.1.1,DK,DNK,0.001,2016,PERCENT
11.1.1,DO,DOM,14.8,2016,PERCENT
11.1.1,EC,ECU,20.3,2016,PERCENT
11.1.1,EG,EGY,4.1,2016,PERCENT
11.1.1,ES,ESP,7.8,2016,PERCENT
11.1.1,ET,ETH,65.9,2016,PERCENT
11.1.1,FJ,FJI,10.8,2016,PERCENT
11.1.1,GA,GAB,36.6,2016,PERCENT
11.1.1,GE,GEO,34.1,2016,PERCENT
11.1.1,GH,GHA,30.4,2016,PERCENT
11.1.1,GN,GIN,49.2,2016,PERCENT
11.1.1,GP,GLP,5.4,2014,PERCENT
11.1.1,GM,GMB,26,2016,PERCENT
11.1.1,GW,GNB,78.9,2016,PERCENT
11.1.1,GQ,GNQ,66.1,2016,PERCENT
11.1.1,GR,GRC,3,2016,PERCENT
11.1.1,GD,GRD,6,2014,PERCENT
11.1.1,GT,GTM,31,2016,PERCENT
11.1.1,GF,GUF,10.5,2014,PERCENT
11.1.1,GY,GUY,32.6,2016,PERCENT
11.1.1,HN,HND,40.4,2016,PERCENT
11.1.1,HT,HTI,65.9,2016,PERCENT
11.1.1,HU,HUN,13.6,2016,PERCENT
11.1.1,ID,IDN,30.9,2016,PERCENT
11.1.1,IN,IND,35.4,2016,PERCENT
11.1.1,IR,IRN,23.9,2016,PERCENT
11.1.1,IQ,IRQ,46.4,2016,PERCENT
11.1.1,JM,JAM,59.8,2016,PERCENT
11.1.1,JO,JOR,21.1,2016,PERCENT
11.1.1,KE,KEN,46.5,2016,PERCENT
11.1.1,KG,KGZ,9.7,2016,PERCENT
11.1.1,KH,KHM,47.7,2016,PERCENT
11.1.1,LA,LAO,20.8,2016,PERCENT
11.1.1,LB,LBN,53.1,2014,PERCENT
11.1.1,LR,LBR,70.3,2016,PERCENT
11.1.1,LC,LCA,11.9,2016,PERCENT
11.1.1,LS,LSO,59.7,2016,PERCENT
11.1.1,MA,MAR,10.1,2016,PERCENT
11.1.1,MD,MDA,63.5,2016,PERCENT
11.1.1,MG,MDG,67.7,2016,PERCENT
11.1.1,MV,MDV,32.1,2016,PERCENT
11.1.1,MX,MEX,16,2016,PERCENT
11.1.1,MK,MKD,8.3,2016,PERCENT
11.1.1,ML,MLI,47,2016,PERCENT
11.1.1,MM,MMR,56.6,2016,PERCENT
11.1.1,ME,MNE,27.1,2016,PERCENT
11.1.1,MN,MNG,38.3,2016,PERCENT
11.1.1,MZ,MOZ,76.7,2016,PERCENT
11.1.1,MR,MRT,79.5,2016,PERCENT
11.1.1,MW,MWI,67,2016,PERCENT
11.1.1,NA,NAM,42.3,2016,PERCENT
11.1.1,NE,NER,61.8,2016,PERCENT
11.1.1,NG,NGA,53.9,2016,PERCENT
11.1.1,NI,NIC,43.2,2016,PERCENT
11.1.1,NO,NOR,0.001,2016,PERCENT
11.1.1,NP,NPL,51,2016,PERCENT
11.1.1,PK,PAK,40.8,2016,PERCENT
11.1.1,PA,PAN,22.1,2016,PERCENT
11.1.1,PE,PER,33.8,2016,PERCENT
11.1.1,PH,PHL,43.5,2016,PERCENT
11.1.1,PL,POL,0.01,2016,PERCENT
11.1.1,PT,PRT,3.6,2016,PERCENT
11.1.1,PY,PRY,17.6,2014,PERCENT
11.1.1,PS,PSE,39.3,2016,PERCENT
11.1.1,RO,ROU,14.4,2016,PERCENT
11.1.1,RW,RWA,45.5,2016,PERCENT
11.1.1,SA,SAU,18,2014,PERCENT
11.1.1,SD,SDN,93.6,2016,PERCENT
11.1.1,SN,SEN,29.5,2016,PERCENT
11.1.1,SL,SLE,59.8,2016,PERCENT
11.1.1,SV,SLV,22.4,2016,PERCENT
11.1.1,SO,SOM,73.6,2016,PERCENT
11.1.1,RS,SRB,3.6,2016,PERCENT
11.1.1,SS,SSD,97.3,2016,PERCENT
11.1.1,ST,STP,86.6,2016,PERCENT
11.1.1,SR,SUR,5.9,2016,PERCENT
11.1.1,SI,SVN,3.7,2016,PERCENT
11.1.1,SE,SWE,0.001,2016,PERCENT
11.1.1,SZ,SWZ,32.7,2016,PERCENT
11.1.1,SY,SYR,15.3,2016,PERCENT
11.1.1,TD,TCD,87,2016,PERCENT
11.1.1,TG,TGO,53,2016,PERCENT
11.1.1,TH,THA,24.6,2016,PERCENT
11.1.1,TJ,TJK,26,2016,PERCENT
11.1.1,TL,TLS,34,2016,PERCENT
11.1.1,TT,TTO,5.4,2016,PERCENT
11.1.1,TN,TUN,8,2016,PERCENT
11.1.1,TR,TUR,8.1,2016,PERCENT
11.1.1,TZ,TZA,41.7,2016,PERCENT
11.1.1,UG,UGA,47.5,2016,PERCENT
11.1.1,UA,UKR,19,2016,PERCENT
11.1.1,UZ,UZB,52.2,2016,PERCENT
11.1.1,VE,VEN,34.9,2016,PERCENT
11.1.1,VN,VNM,14.4,2016,PERCENT
11.1.1,YE,YEM,56.4,2016,PERCENT
11.1.1,ZA,ZAF,26.3,2016,PERCENT
11.1.1,ZM,ZMB,63.3,2016,PERCENT
11.1.1,ZW,ZWE,28.3,2016,PERCENT
