index,Country,iso3,Values,Year,Unit
15.1.1,AW,ABW,2.33333,2015,PERCENT
15.1.1,AF,AFG,2.06782,2015,PERCENT
15.1.1,AO,AGO,46.40732,2015,PERCENT
15.1.1,AI,AIA,61.11111,2015,PERCENT
15.1.1,AL,ALB,28.15693,2015,PERCENT
15.1.1,AD,AND,34.04255,2015,PERCENT
15.1.1,AE,ARE,4.54238,2015,PERCENT
15.1.1,AR,ARG,9.90686,2015,PERCENT
15.1.1,AM,ARM,11.6614,2015,PERCENT
15.1.1,AS,ASM,87.715,2015,PERCENT
15.1.1,AG,ATG,22.27273,2015,PERCENT
15.1.1,AU,AUS,16.23876,2015,PERCENT
15.1.1,AT,AUT,46.8839,2015,PERCENT
15.1.1,AZ,AZE,13.78368,2015,PERCENT
15.1.1,BI,BDI,10.74766,2015,PERCENT
15.1.1,BE,BEL,22.56935,2015,PERCENT
15.1.1,BJ,BEN,38.23164,2015,PERCENT
15.1.1,BQ,BES,5.75155,2015,PERCENT
15.1.1,BF,BFA,19.55409,2015,PERCENT
15.1.1,BD,BGD,10.97795,2015,PERCENT
15.1.1,BG,BGR,35.21555,2015,PERCENT
15.1.1,BH,BHR,0.77635,2015,PERCENT
15.1.1,BS,BHS,51.44855,2015,PERCENT
15.1.1,BA,BIH,42.67578,2015,PERCENT
15.1.1,BY,BLR,42.53417,2015,PERCENT
15.1.1,BZ,BLZ,59.89917,2015,PERCENT
15.1.1,BM,BMU,18.51852,2015,PERCENT
15.1.1,BO,BOL,50.55294,2015,PERCENT
15.1.1,BR,BRA,59.04878,2015,PERCENT
15.1.1,BB,BRB,14.65116,2015,PERCENT
15.1.1,BN,BRN,72.10626,2015,PERCENT
15.1.1,BT,BTN,72.27576,2015,PERCENT
15.1.1,BW,BWA,19.12727,2015,PERCENT
15.1.1,CF,CAF,35.58702,2015,PERCENT
15.1.1,CA,CAN,38.16667,2015,PERCENT
15.1.1,CH,CHE,31.73398,2015,PERCENT
15.1.1,CL,CHL,23.85237,2015,PERCENT
15.1.1,CN,CHN,22.10376,2015,PERCENT
15.1.1,CI,CIV,10.69544,2015,PERCENT
15.1.1,CM,CMR,39.80453,2015,PERCENT
15.1.1,CD,COD,67.30244,2015,PERCENT
15.1.1,CG,COG,65.39971,2015,PERCENT
15.1.1,CK,COK,62.91667,2015,PERCENT
15.1.1,CO,COL,52.72802,2015,PERCENT
15.1.1,KM,COM,19.88178,2015,PERCENT
15.1.1,CV,CPV,22.30844,2015,PERCENT
