"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"49","14.a.1","ER_RDE_OSEX",410,"Republic of Korea",2013,"0.41","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",123,"KOR","KR","Republic of Korea"
"50","14.a.1","ER_RDE_OSEX",410,"Republic of Korea",2014,"0.37","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",123,"KOR","KR","Republic of Korea"
"51","14.a.1","ER_RDE_OSEX",410,"Republic of Korea",2015,"0.33","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",123,"KOR","KR","Republic of Korea"
"52","14.a.1","ER_RDE_OSEX",410,"Republic of Korea",2016,"0.32","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",123,"KOR","KR","Republic of Korea"
"53","14.a.1","ER_RDE_OSEX",410,"Republic of Korea",2017,"0.25","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",123,"KOR","KR","Republic of Korea"
"54","14.a.1","ER_RDE_OSEX",414,"Kuwait",2017,"0.97","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",124,"KWT","KW","Kuwait"
"55","14.a.1","ER_RDE_OSEX",480,"Mauritius",2017,"0.90","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",156,"MUS","MU","Mauritius"
"56","14.a.1","ER_RDE_OSEX",508,"Mozambique",2015,"5.77","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",152,"MOZ","MZ","Mozambique"
"57","14.a.1","ER_RDE_OSEX",512,"Oman",2013,"5.05","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",172,"OMN","OM","Oman"
"58","14.a.1","ER_RDE_OSEX",512,"Oman",2014,"4.02","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",172,"OMN","OM","Oman"
"59","14.a.1","ER_RDE_OSEX",512,"Oman",2015,"3.37","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",172,"OMN","OM","Oman"
"60","14.a.1","ER_RDE_OSEX",512,"Oman",2016,"3.19","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",172,"OMN","OM","Oman"
"61","14.a.1","ER_RDE_OSEX",512,"Oman",2017,"3.79","2017","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",172,"OMN","OM","Oman"
"62","14.a.1","ER_RDE_OSEX",528,"Netherlands",2013,"0.25","2013","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",167,"NLD","NL","Netherlands"
"63","14.a.1","ER_RDE_OSEX",528,"Netherlands",2014,"0.24","2014","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",167,"NLD","NL","Netherlands"
"64","14.a.1","ER_RDE_OSEX",528,"Netherlands",2015,"0.20","2015","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",167,"NLD","NL","Netherlands"
"65","14.a.1","ER_RDE_OSEX",528,"Netherlands",2016,"0.21","2016","Intergovernmental Oceanographic Commission (IOC) of UNESCO","",NA,"PERCENT","","",NA,"G","","","PERCENT",167,"NLD","NL","Netherlands"
